id,virus,host,interaction,strain,localization,tissue_expression
123,nsp12,ARF3,Interolog,B.1.1.7,None,Brain - Frontal Cortex (BA9)
285,S,ACE2,Interolog,B.1.1.7,None,Testis
292,ORF9b,MARK3,Interolog,B.1.1.7,None,Brain - Cerebellar Hemisphere
319,S,MARK3,Interolog,B.1.1.7,None,Brain - Cerebellar Hemisphere
1068,nsp12,HLA-G,Interolog,B.1.1.7,None,Pituitary
1340,ORF3a,HLA-G,Interolog,B.1.1.7,None,Pituitary
1593,ORF7b,HLA-G,Interolog,B.1.1.7,None,Pituitary
2065,S,HLA-G,Interolog,B.1.1.7,None,Pituitary
2269,E,ARF3,Interolog,B.1.1.7,None,Brain - Frontal Cortex (BA9)
2859,M,ARF3,Interolog,B.1.1.7,None,Brain - Frontal Cortex (BA9)
4606,ORF3a,ARF3,Interolog,B.1.1.7,None,Brain - Frontal Cortex (BA9)
4965,ORF6,ARF3,Interolog,B.1.1.7,None,Brain - Frontal Cortex (BA9)
5404,ORF7a,HLA-G,Interolog,B.1.1.7,None,Pituitary
5424,ORF7a,ARF3,Interolog,B.1.1.7,None,Brain - Frontal Cortex (BA9)
6034,ORF7b,ARF3,Interolog,B.1.1.7,None,Brain - Frontal Cortex (BA9)
6513,ORF8,HLA-G,Interolog,B.1.1.7,None,Pituitary
6531,ORF8,ARF3,Interolog,B.1.1.7,None,Brain - Frontal Cortex (BA9)
6832,S,ARF3,Interolog,B.1.1.7,None,Brain - Frontal Cortex (BA9)
7031,E,HLA-G,Interolog,B.1.1.7,None,Pituitary
7337,M,MARK3,Interolog,B.1.1.7,None,Brain - Cerebellar Hemisphere
8708,ORF3a,MARK3,Interolog,B.1.1.7,None,Brain - Cerebellar Hemisphere
9261,ORF7b,MARK3,Interolog,B.1.1.7,None,Brain - Cerebellar Hemisphere
10072,M,HLA-G,Interolog,B.1.1.7,None,Pituitary
10985,nsp14,MARK3,Interolog,B.1.1.7,None,Brain - Cerebellar Hemisphere
11082,N,HLA-G,Interolog,B.1.1.7,None,Pituitary
11102,nsp12,MARK3,Interolog,B.1.1.7,None,Brain - Cerebellar Hemisphere
11765,N,HLA-G,Domain,B.1.1.7,None,Pituitary
12510,S,HLA-G,Domain,B.1.1.7,None,Pituitary
12781,nsp4,ARF3,Interolog,B.1.351,None,Brain - Frontal Cortex (BA9)
12943,S,ACE2,Interolog,B.1.351,None,Testis
12950,ORF9b,MARK3,Interolog,B.1.351,None,Brain - Cerebellar Hemisphere
12976,nsp4,MARK3,Interolog,B.1.351,None,Brain - Cerebellar Hemisphere
13712,nsp4,HLA-G,Interolog,B.1.351,None,Pituitary
13975,ORF3a,HLA-G,Interolog,B.1.351,None,Pituitary
